OrderDate__,OrderNumber__,VendorNumber__,OrderedAmount__,DeliveredAmount__,InvoicedAmount__,CompanyCode__
3/19/2019,48588,V00482,2819.00,2819.00,0.00,2
3/19/2019,48589,V03392,.00,.00,0.00,19
3/19/2019,48611,V03105,.00,.00,0.00,19
3/20/2019,48615,V03693,251.75,251.75,0.00,2
3/20/2019,48628,V03105,.00,.00,0.00,19
3/20/2019,48639,V03288,1459.50,1459.50,0.00,19
3/21/2019,48657,V02793,.00,.00,0.00,19
3/21/2019,48658,V02793,.00,.00,0.00,19
3/21/2019,48661,V02793,.00,.00,0.00,19
3/22/2019,48692,V02226,3293.668,3293.668,0.00,12
3/25/2019,48702,V02594,1.37,1.37,0.00,19
3/25/2019,48741,V02197,4153.671,4153.671,0.00,12
3/28/2019,48785,V03177,5889.44,5889.44,0.00,19
3/28/2019,48790,V02586,71.71,71.71,0.00,19
3/28/2019,48885,V02891,5511.45,5511.45,0.00,19
3/29/2019,48876,V02226,1130.107,1130.107,0.00,12
3/30/2019,48931,V02226,8055.604,8055.604,0.00,12
4/1/2019,48850,V03664,313.50,313.50,0.00,2
4/1/2019,48851,V03664,313.50,313.50,0.00,2
4/1/2019,48861,V03253,10419.443,10419.443,0.00,12
4/1/2019,48862,V03253,441.502,441.502,0.00,12
4/1/2019,48905,V03149,48.80,48.80,0.00,12
4/1/2019,49098,V03149,3536.675,3536.675,0.00,12
4/2/2019,48891,V02998,295559.80,295559.80,0.00,19
4/2/2019,48906,V02193,5308.418,5308.418,0.00,12
4/8/2019,49017,V03245,6297.50,6297.50,0.00,19
4/8/2019,49018,V03246,6297.50,6297.50,0.00,19
4/9/2019,49032,V02669,843.67,843.67,0.00,19
4/9/2019,49047,V03579,342.00,342.00,0.00,2
4/9/2019,49059,V02891,4325.00,4325.00,0.00,19
4/9/2019,49069,V03792,24304.706,24304.706,0.00,12
4/10/2019,49090,V02458,488.40,488.40,0.00,19
4/10/2019,49155,V02314,4206.603,4206.603,0.00,12
4/12/2019,49696,V02994,950.00,950.00,0.00,19
4/15/2019,49145,V02669,860.64,860.64,0.00,19
4/15/2019,49190,V03111,1806.082,1806.082,0.00,12
4/15/2019,49314,V03024,22250.03,22250.03,0.00,19
4/18/2019,49222,V01002,142.53,142.53,0.00,2
4/22/2019,49267,V02891,1520.14,1520.14,0.00,19
4/22/2019,49343,V03149,366.002,366.002,0.00,12
4/23/2019,49309,V02458,86887.20,86887.20,0.00,19
4/23/2019,49340,V03253,417.195,417.195,0.00,12
4/23/2019,49341,V03253,17.678,17.678,0.00,12
4/24/2019,49357,V03800,144.402,144.402,0.00,12
4/24/2019,49359,V03801,96.128,96.128,0.00,12
4/25/2019,49360,V03802,305.001,305.001,0.00,12
4/25/2019,49383,V02226,15304.594,15304.594,0.00,12
4/25/2019,49384,V03111,1288.158,1288.158,0.00,12
4/25/2019,49608,V03817,116.323,116.323,0.00,12
4/26/2019,49389,V02197,3843.681,3843.681,0.00,12
4/26/2019,49391,V03803,26.293,26.293,0.00,12
4/26/2019,49398,V02195,55.12,55.12,0.00,2
4/26/2019,49402,V03024,54500.00,54500.00,0.00,19
4/26/2019,49406,V03804,289.226,289.226,0.00,12
4/26/2019,49408,V03803,262.932,262.932,0.00,12
4/29/2019,49473,V03805,1872.337,1872.337,0.00,12
4/29/2019,49475,V03806,247.156,247.156,0.00,12
4/29/2019,49476,V03807,93.92,93.92,0.00,12
4/29/2019,49479,V03808,214.553,214.553,0.00,12
4/29/2019,49480,V03809,86.925,86.925,0.00,12
4/29/2019,49481,V03810,524.603,524.603,0.00,12
4/29/2019,49482,V03811,427.002,427.002,0.00,12
4/29/2019,49496,V03132,140.20,140.20,0.00,19
4/29/2019,49509,V03771,579.13,579.13,0.00,2
4/30/2019,49515,V02810,1344.00,1344.00,0.00,19
4/30/2019,49534,V03813,505.747,505.747,0.00,12
4/30/2019,49536,V03814,530.532,530.532,0.00,12
4/30/2019,49537,V03814,268.717,268.717,0.00,12
4/30/2019,49542,V03745,912.00,912.00,0.00,2
4/30/2019,49594,V03815,305.001,305.001,0.00,12
4/30/2019,49605,V03816,.488,.488,0.00,12
4/30/2019,49606,V03816,.002,.002,0.00,12
5/2/2019,49601,V03105,3400.00,3400.00,0.00,19
5/2/2019,49612,V02602,1075.00,1075.00,0.00,19
5/3/2019,49620,V03827,104.756,104.756,0.00,12
5/3/2019,49621,V03828,69.139,69.139,0.00,12
5/3/2019,49622,V03800,125.027,125.027,0.00,12
5/6/2019,49666,V03805,38.655,38.655,0.00,12
5/6/2019,49668,V03832,473.918,473.918,0.00,12
5/6/2019,49669,V03833,55.29,55.29,0.00,12
5/6/2019,49670,V03106,5305.34,5305.34,0.00,19
5/7/2019,49683,V03804,26.189,26.189,0.00,12
5/7/2019,49684,V03828,52.378,52.378,0.00,12
5/7/2019,49685,V03804,26.189,26.189,0.00,12
5/8/2019,49705,V03105,8108.35,8108.35,0.00,19
5/8/2019,49706,V02226,1271.90,1271.90,0.00,12
5/8/2019,49717,V03834,33.941,33.941,0.00,12
5/9/2019,49764,V03800,174.943,174.943,0.00,12
5/9/2019,49770,V03801,90.824,90.824,0.00,12
5/10/2019,49772,V03803,130.946,130.946,0.00,12
5/10/2019,49776,V03805,43.238,43.238,0.00,12
5/10/2019,49786,V02883,427.00,427.00,0.00,19
5/13/2019,49803,V00535,113.02,113.02,0.00,2
5/13/2019,49824,V03804,52.378,52.378,0.00,12
5/13/2019,49825,V03834,31.427,31.427,0.00,12
5/13/2019,49826,V03810,131.239,131.239,0.00,12
5/13/2019,49827,V03840,847.584,847.584,0.00,12
5/13/2019,49828,V03490,32.736,32.736,0.00,12
5/13/2019,49829,V03809,114.463,114.463,0.00,12
5/14/2019,49906,V03805,1864.923,1864.923,0.00,12
5/16/2019,49928,V03845,156.506,156.506,0.00,12
5/16/2019,49929,V03845,478.056,478.056,0.00,12
5/16/2019,49930,V03846,1075.721,1075.721,0.00,12
5/16/2019,49931,V03847,2583.869,2583.869,0.00,12
5/20/2019,49942,V03662,313.50,313.50,0.00,2
5/20/2019,49971,V03803,157.135,157.135,0.00,12
5/20/2019,49972,V03849,182.276,182.276,0.00,12
5/20/2019,49973,V03808,384.038,384.038,0.00,12
5/21/2019,50016,V03800,24.919,24.919,0.00,12
5/22/2019,50017,V03800,143.202,143.202,0.00,12
5/22/2019,50020,V03828,20.82,20.82,0.00,12
5/22/2019,50024,V02891,58.80,58.80,0.00,19
5/23/2019,50063,V03828,159.037,159.037,0.00,12
5/24/2019,50103,V03249,26195.00,26195.00,0.00,19
5/27/2019,50114,V03808,251.887,251.887,0.00,12
5/27/2019,50115,V03858,115.703,115.703,0.00,12
5/27/2019,50116,V03807,93.546,93.546,0.00,12
5/27/2019,50117,V03859,92.133,92.133,0.00,12
5/27/2019,50118,V03809,115.442,115.442,0.00,12
5/27/2019,50119,V03804,127.593,127.593,0.00,12
5/27/2019,50120,V03490,37.974,37.974,0.00,12
5/27/2019,50121,V03860,139.745,139.745,0.00,12
5/28/2019,50156,V03591,978.50,978.50,0.00,2
5/28/2019,50158,V03863,912.00,912.00,0.00,2
5/28/2019,50161,V03800,187.304,187.304,0.00,12
5/29/2019,50171,V03105,53950.38,53950.38,0.00,19
5/29/2019,50194,V00519,247.50,247.50,0.00,2
5/29/2019,50206,V03806,246.178,246.178,0.00,12
5/30/2019,50285,V03801,91.295,91.295,0.00,12
5/30/2019,50286,V03813,501.294,501.294,0.00,12
5/30/2019,50287,V03814,423.215,423.215,0.00,12
5/30/2019,50288,V03814,293.639,293.639,0.00,12
5/30/2019,50301,V03867,336.68,336.68,0.00,12
5/31/2019,50306,V03800,224.86,224.86,0.00,12
5/31/2019,50313,V03800,23.088,23.088,0.00,12
5/31/2019,50314,V03800,.486,.486,0.00,12
6/3/2019,50325,V02458,1679046.72,1679046.72,0.00,19
6/4/2019,50361,V02994,4000.00,4000.00,0.00,19
6/12/2019,50538,V03708,2329.65,2329.65,0.00,2
6/14/2019,50625,V00507,88044.00,88044.00,0.00,2
6/17/2019,50652,V01951,16442.00,16442.00,0.00,2
6/17/2019,50663,V03249,23725.00,23725.00,0.00,19
6/18/2019,50687,V00535,259.00,259.00,0.00,2
6/18/2019,50861,V02801,.00,.00,0.00,19
6/20/2019,50723,V02979,4890.39,4890.39,0.00,19
6/24/2019,50782,V03768,399.00,399.00,0.00,2
6/28/2019,50860,V02651,1674.00,1674.00,0.00,19
6/28/2019,50891,V02458,439.80,439.80,0.00,19
6/28/2019,50892,V00558,1983.60,1983.60,0.00,2
7/2/2019,50982,V03105,47630.96,47630.96,0.00,19
7/3/2019,50986,V00126,6600.00,6600.00,0.00,2
7/3/2019,51024,V02458,42518.67,42518.67,0.00,19
7/5/2019,51016,V02458,439.80,439.80,0.00,19
7/9/2019,51098,V00943,280.594,280.594,0.00,9
7/10/2019,51121,V03909,1107.69,1107.69,0.00,19
7/11/2019,51123,V00943,280.594,280.594,0.00,9
7/11/2019,51141,V02458,36754.94,36754.94,0.00,19
7/15/2019,51170,V02810,1800.00,1800.00,0.00,19
7/15/2019,51172,V02810,1200.00,1200.00,0.00,19
7/16/2019,51226,V03249,13000.00,13000.00,0.00,19
7/17/2019,51233,V02353,59300.00,59300.00,0.00,19
7/18/2019,51309,V02314,4080.66,4080.66,0.00,12
7/22/2019,51313,V03177,27183.16,27183.16,0.00,19
7/22/2019,51314,V02641,74406.60,74406.60,0.00,19
7/22/2019,51315,V03546,21864.25,21864.25,0.00,2
7/25/2019,51451,V03496,2359.88,2359.88,0.00,2
7/26/2019,51488,V00285,11763.02,11763.02,0.00,2
7/29/2019,51504,V02458,18503.94,18503.94,0.00,19
7/29/2019,51507,V03105,1769.80,1769.80,0.00,19
7/30/2019,51535,V02891,.00,.00,0.00,19
8/1/2019,51613,V03646,1064.00,1064.00,0.00,2
8/1/2019,51617,V03929,627.75,627.75,0.00,2
8/1/2019,51619,V03929,627.75,627.75,0.00,2
8/1/2019,51622,V03105,114184.87,114184.87,0.00,19
8/1/2019,51624,V01490,375.00,375.00,0.00,2
8/1/2019,51640,V00408,2860.00,2860.00,0.00,2
8/2/2019,51647,V02601,852.60,852.60,0.00,19
8/2/2019,51660,V03105,6053.29,6053.29,0.00,19
8/6/2019,51724,V03614,2363.13,2363.13,0.00,2
8/6/2019,51731,V02641,66439.20,66439.20,0.00,19
8/6/2019,51744,V02663,132.46,132.46,0.00,19
8/8/2019,51783,V03105,.00,.00,0.00,19
8/9/2019,51828,V02641,132278.40,132278.40,0.00,19
8/10/2019,51835,V02458,11879.99,11879.99,0.00,19
8/12/2019,51853,V00054,150991.38,150991.38,0.00,2
8/12/2019,51855,V00208,.00,.00,0.00,2
8/14/2019,51907,V03909,4952.89,4952.89,0.00,19
8/14/2019,51908,V03940,315.88,315.88,0.00,2
8/14/2019,51909,V03940,315.88,315.88,0.00,2
8/14/2019,51910,V03940,315.88,315.88,0.00,2
8/14/2019,51911,V03940,315.88,315.88,0.00,2
8/14/2019,51923,V03105,1199.00,1199.00,0.00,19
8/15/2019,51932,V02641,16534.80,16534.80,0.00,19
8/15/2019,51946,V03521,7786.00,7786.00,0.00,2
8/15/2019,51958,V03521,1891.39,1891.39,0.00,2
8/15/2019,51959,V01451,9645.00,9645.00,0.00,2
8/16/2019,51987,V03499,7800.00,7800.00,0.00,2
8/16/2019,51993,V03105,1351.28,1351.28,0.00,19
8/20/2019,52054,V02043,313.50,313.50,0.00,2
8/20/2019,52055,V02043,313.50,313.50,0.00,2
8/21/2019,52093,V03521,1594.90,1594.90,0.00,2
8/22/2019,52119,V03947,855.00,855.00,0.00,2
8/22/2019,52123,V03105,86420.81,86420.81,0.00,19
8/25/2019,52159,V02195,48178.12,48178.12,0.00,2
8/26/2019,52191,V02195,49313.60,49313.60,0.00,2
8/26/2019,52202,V02801,1820.00,1820.00,0.00,19
8/27/2019,52234,V02586,1910.65,1910.65,0.00,19
8/28/2019,52281,V02891,116.80,116.80,0.00,19
8/28/2019,52289,V03358,5450.00,5450.00,0.00,2
8/30/2019,52326,V03546,291.51,291.51,0.00,2
9/3/2019,52331,V03105,5224.50,5224.50,0.00,19
9/4/2019,52366,V02458,2574.02,2574.02,0.00,19
9/5/2019,52394,V03843,56817.73,56817.73,0.00,2
9/5/2019,52400,V03105,51651.60,51651.60,0.00,19
9/5/2019,52401,V03105,81542.92,81542.92,0.00,19
9/5/2019,52411,V02353,2498.85,2498.85,0.00,19
9/6/2019,52429,V02458,3499.77,3499.77,0.00,19
9/9/2019,52447,V02564,1387.00,1387.00,0.00,19
9/10/2019,52487,V02195,41916.56,41916.56,0.00,2
9/10/2019,52503,V03105,.00,.00,0.00,19
9/11/2019,52517,V00068,98288.64,98288.64,0.00,2
9/11/2019,52539,V00126,6600.00,6600.00,0.00,2
9/13/2019,52567,V02345,30430.00,30430.00,0.00,19
9/13/2019,52568,V00227,87.91,87.91,0.00,2
9/16/2019,52594,V03521,808.44,808.44,0.00,2
9/16/2019,52609,V02891,450.00,450.00,0.00,19
9/16/2019,52616,V02891,2115.00,2115.00,0.00,19
9/17/2019,52628,V00978,92558.682,92558.682,0.00,9
9/17/2019,52629,V00978,92008.33,92008.33,0.00,9
9/17/2019,52640,V02793,13500.00,13500.00,0.00,19
9/19/2019,52661,V02564,2505.00,2505.00,0.00,19
9/19/2019,52664,V02891,208.53,208.53,0.00,19
9/20/2019,52686,V02039,94.05,94.05,0.00,2
9/20/2019,52702,V02641,74406.60,74406.60,0.00,19
9/23/2019,52713,V02458,65141.78,65141.78,0.00,19
9/23/2019,52726,V02891,129.60,129.60,0.00,19
9/23/2019,52884,V03105,17248.22,17248.22,0.00,19
9/24/2019,52737,V03106,2228.50,2228.50,0.00,19
9/24/2019,52738,V02891,2.00,2.00,0.00,19
9/24/2019,52757,V00208,56115.60,56115.60,0.00,2
9/25/2019,52762,V02345,11548.00,11548.00,0.00,19
9/25/2019,52789,V02195,45197.60,45197.60,0.00,2
9/25/2019,52790,V02195,45197.60,45197.60,0.00,2
9/26/2019,52796,V02195,49364.22,49364.22,0.00,2
9/26/2019,52808,V02195,46423.20,46423.20,0.00,2
9/26/2019,52809,V02195,46423.20,46423.20,0.00,2
9/26/2019,52810,V02195,46423.20,46423.20,0.00,2
9/26/2019,52824,V02195,46320.00,46320.00,0.00,2
9/26/2019,52840,V01560,1466.68,1466.68,0.00,2
9/26/2019,52841,V02669,98.00,98.00,0.00,19
9/26/2019,52852,V02195,46216.80,46216.80,0.00,2
9/26/2019,52853,V02195,46216.80,46216.80,0.00,2
9/26/2019,52854,V02195,46216.80,46216.80,0.00,2
9/26/2019,52855,V02195,46216.80,46216.80,0.00,2
9/26/2019,52856,V02195,46216.80,46216.80,0.00,2
9/27/2019,52870,V03198,1661.40,1661.40,0.00,2
9/30/2019,52891,V02563,1483.66,1483.66,0.00,19
9/30/2019,52895,V02641,74406.60,74406.60,0.00,19
10/1/2019,52903,V02641,32.40,32.40,0.00,19
10/1/2019,52907,V03496,665.00,665.00,0.00,2
10/1/2019,52909,V02458,245.13,245.13,0.00,19
10/1/2019,52926,V02458,576.00,576.00,0.00,19
10/1/2019,52927,V03880,570.00,570.00,0.00,2
10/1/2019,52935,V02793,.00,.00,0.00,19
10/1/2019,52940,V02195,1623.00,1623.00,0.00,2
10/1/2019,52945,V02641,32.40,32.40,0.00,19
10/2/2019,52956,V02458,24176.77,24176.77,0.00,19
10/2/2019,52961,V02458,13320.00,13320.00,0.00,19
10/2/2019,52963,V02458,1566.00,1566.00,0.00,19
10/2/2019,52964,V02458,18594.00,18594.00,0.00,19
10/2/2019,52971,V00126,3300.00,3300.00,0.00,2
10/2/2019,52976,V03106,69345.45,69345.45,0.00,19
10/3/2019,52980,V03132,11827.20,11827.20,0.00,19
10/3/2019,52982,V02458,3418.80,3418.80,0.00,19
10/3/2019,53003,V02458,1620.60,1620.60,0.00,19
10/3/2019,53004,V03105,.00,.00,0.00,19
10/3/2019,53005,V03358,3025.00,3025.00,0.00,2
10/4/2019,53016,V02458,1130.18,1130.18,0.00,19
10/4/2019,53023,V02458,467.86,467.86,0.00,19
10/7/2019,53037,V03105,2972.64,2972.64,0.00,19
10/7/2019,53038,V02458,14757.38,14757.38,0.00,19
10/7/2019,53039,V02458,841.65,841.65,0.00,19
10/7/2019,53040,V02891,20052.00,20052.00,0.00,19
10/7/2019,53046,V02676,812.00,812.00,0.00,19
10/8/2019,53057,V03992,665.00,665.00,0.00,2
10/8/2019,53067,V02458,10257.72,10257.72,0.00,19
10/8/2019,53068,V02458,154.80,154.80,0.00,19
10/8/2019,53072,V03105,11633.22,11633.22,0.00,19
10/8/2019,53076,V02458,486.54,486.54,0.00,19
10/8/2019,53082,V03671,1602.29,1602.29,0.00,18
10/9/2019,53085,V03105,47281.02,47281.02,0.00,19
10/9/2019,53087,V02674,5675.00,5675.00,0.00,19
10/9/2019,53088,V03392,950.00,950.00,0.00,19
10/9/2019,53089,V00938,6207.573,6207.573,0.00,9
10/9/2019,53090,V02594,233.76,233.76,0.00,19
10/9/2019,53094,V02195,848.70,848.70,0.00,2
10/9/2019,53097,V02458,140.00,140.00,0.00,19
10/9/2019,53098,V02458,3780.20,3780.20,0.00,19
10/9/2019,53104,V02458,60062.94,60062.94,0.00,19
10/9/2019,53105,V00126,6600.00,6600.00,0.00,2
10/9/2019,53107,V02458,62.40,62.40,0.00,19
10/9/2019,53109,V02458,10102.50,10102.50,0.00,19
10/9/2019,53113,V00529,8191.80,8191.80,0.00,2
10/10/2019,53117,V00821,3600.00,3600.00,0.00,2
10/10/2019,53119,V03105,52375.29,52375.29,0.00,19
10/10/2019,53123,V02458,423.90,423.90,0.00,19
10/10/2019,53133,V00197,3889.00,3889.00,0.00,2
10/10/2019,53135,V03106,2371.88,2371.88,0.00,19
10/10/2019,53139,V00087,989.00,989.00,0.00,2
10/11/2019,53145,V03132,4053.84,4053.84,0.00,19
10/11/2019,53146,V00943,280.594,280.594,0.00,9
10/11/2019,53150,V02641,74406.60,74406.60,0.00,19
10/11/2019,53152,V02674,1775.52,1775.52,0.00,19
10/11/2019,53154,V02641,78246.00,78246.00,0.00,19
10/11/2019,53155,V02641,74406.60,74406.60,0.00,19
10/11/2019,53156,V02641,74406.60,74406.60,0.00,19
10/11/2019,53158,V02641,74406.60,74406.60,0.00,19
10/11/2019,53163,V02458,3415.00,3415.00,0.00,19
10/11/2019,53164,V02458,3311.72,3311.72,0.00,19
10/11/2019,53165,V03009,10585.06,10585.06,0.00,19
10/11/2019,53166,V03105,47546.71,47546.71,0.00,19
10/11/2019,53167,V03106,466.76,466.76,0.00,19
10/14/2019,53175,V02793,9000.00,9000.00,0.00,19
10/14/2019,53180,V02458,301.09,301.09,0.00,19
10/14/2019,53191,V00087,789.00,789.00,0.00,2
10/14/2019,53194,V00132,7608.80,7608.80,0.00,2
10/14/2019,53196,V02796,5581.11,5581.11,0.00,19
10/14/2019,53198,V03105,2777.60,2777.60,0.00,19
10/14/2019,53202,V03105,672.20,672.20,0.00,19
10/15/2019,53204,V03105,1553.56,1553.56,0.00,19
10/15/2019,53216,V03105,49995.23,49995.23,0.00,19
10/15/2019,53224,V03198,855.00,855.00,0.00,2
10/16/2019,53228,V02458,726.11,726.11,0.00,19
10/16/2019,53230,V00943,280.594,280.594,0.00,9
10/16/2019,53231,V00870,5805.934,5805.934,0.00,9
10/16/2019,53233,V03105,507.50,507.50,0.00,19
10/16/2019,53234,V02458,154.94,154.94,0.00,19
10/16/2019,53235,V03358,14500.00,14500.00,0.00,2
10/16/2019,53237,V03105,5479.98,5479.98,0.00,19
10/16/2019,53238,V02641,74406.60,74406.60,0.00,19
10/16/2019,53242,V03105,17444.00,17444.00,0.00,19
10/17/2019,53243,V02169,80874.305,80874.305,0.00,18
10/17/2019,53244,V02169,84290.85,84290.85,0.00,18
10/17/2019,53248,V03521,392.25,392.25,0.00,2
10/17/2019,53249,V03521,2353.50,2353.50,0.00,2
10/17/2019,53250,V02641,74406.60,74406.60,0.00,19
10/17/2019,53251,V02458,6484.65,6484.65,0.00,19
10/17/2019,53252,V04004,401.03,401.03,0.00,2
10/17/2019,53253,V02458,898.20,898.20,0.00,19
10/17/2019,53254,V02641,66139.20,66139.20,0.00,19
10/17/2019,53255,V02641,66139.20,66139.20,0.00,19
10/17/2019,53256,V02641,66139.20,66139.20,0.00,19
10/17/2019,53257,V03494,.00,.00,0.00,19
10/17/2019,53258,V02641,66139.20,66139.20,0.00,19
10/17/2019,53259,V02641,66139.20,66139.20,0.00,19
10/17/2019,53260,V02458,862.20,862.20,0.00,19
10/17/2019,53266,V03105,24513.31,24513.31,0.00,19
10/17/2019,53267,V00506,3726.24,3726.24,0.00,2
10/17/2019,53268,V03105,5062.48,5062.48,0.00,19
10/17/2019,53270,V02641,74406.60,74406.60,0.00,19
10/17/2019,53271,V02641,74406.60,74406.60,0.00,19
10/17/2019,53273,V03105,1437.67,1437.67,0.00,19
10/17/2019,53274,V03909,4892.94,4892.94,0.00,19
10/17/2019,53275,V03909,4892.94,4892.94,0.00,19
10/17/2019,53276,V02641,74406.60,74406.60,0.00,19
10/18/2019,53280,V02641,74406.60,74406.60,0.00,19
10/18/2019,53281,V02458,1105.50,1105.50,0.00,19
10/18/2019,53285,V00943,280.594,280.594,0.00,9
10/18/2019,53289,V02195,115205.36,115205.36,0.00,2
10/18/2019,53293,V02458,10978.50,10978.50,0.00,19
10/18/2019,53294,V03105,6787.24,6787.24,0.00,19
10/18/2019,53295,V03105,55346.10,55346.10,0.00,19
10/18/2019,53296,V03105,332.98,332.98,0.00,19
10/18/2019,53299,V03105,6629.98,6629.98,0.00,19
10/18/2019,53300,V03105,18868.92,18868.92,0.00,19
10/18/2019,53301,V01680,260.00,260.00,0.00,2
10/18/2019,53303,V00722,2212.80,2212.80,0.00,2
10/18/2019,53304,V03105,45682.38,45682.38,0.00,19
10/21/2019,53305,V00448,2233.00,2233.00,0.00,2
10/21/2019,53308,V03106,1185.94,1185.94,0.00,19
10/21/2019,53309,V03132,23984.10,23984.10,0.00,19
10/21/2019,53310,V02810,1336.00,1336.00,0.00,19
10/21/2019,53311,V00253,34680.00,34680.00,0.00,2
10/21/2019,53312,V03105,173.66,173.66,0.00,19
10/21/2019,53313,V02594,47.74,47.74,0.00,19
10/21/2019,53314,V02195,1076.64,1076.64,0.00,2
10/21/2019,53315,V02195,5250.00,5250.00,0.00,2
10/21/2019,53319,V02458,327.88,327.88,0.00,19
10/21/2019,53320,V03105,3215.89,3215.89,0.00,19
10/21/2019,53321,V03105,3719.04,3719.04,0.00,19
10/21/2019,53323,V02195,32604.53,32604.53,0.00,2
10/22/2019,52977,V00937,937.798,937.798,0.00,9
10/22/2019,53335,V03105,8500.00,8500.00,0.00,19
10/22/2019,53337,V02810,3017.20,3017.20,0.00,19
10/22/2019,53340,V00657,715.00,715.00,0.00,2
10/22/2019,53341,V02641,74406.60,74406.60,0.00,19
10/22/2019,53342,V02195,2800.00,2800.00,0.00,2
10/22/2019,53345,V02050,1218.43,1218.43,0.00,9
