Account__,Description__,CompanyCode__,Allocable1__,Allocable2__,Allocable3__,Allocable4__,Allocable5__,Group__,Manager__
2901,105-01-023 CLIENTES : CUENTAS POR COBRAR : TUBAC S.A. DE C.V.,12,,,,,,,
2902,105-01-024 CLIENTES : CUENTAS POR COBRAR : ZINKPOWER MONTERREY S.A. DE C.V.,12,,,,,,,
3676,105-01-025 CLIENTES : CUENTAS POR COBRAR : MARISOL ORTIZ SARMIENTO,12,,,,,,,
3677,105-01-026 CLIENTES : CUENTAS POR COBRAR : ALTA PRESION SA,12,,,,,,,
3678,105-01-027 CLIENTES : CUENTAS POR COBRAR : PEDRO GONZALEZ (HERMOSILLO),12,,,,,,,
3679,105-01-028 CLIENTES : CUENTAS POR COBRAR : EPEL SA DE CV,12,,,,,,,
3680,105-01-029 CLIENTES : CUENTAS POR COBRAR : FORZA SPL SA DE CV,1,,,,,,,
3681,105-01-030 CLIENTES : CUENTAS POR COBRAR : ARTURO ZAVALA ARREDONDO,12,,,,,,,
3682,105-01-031 CLIENTES : CUENTAS POR COBRAR : COMERCIALIZADORA LEVAI SA DE CV,12,,,,,,,
3683,105-01-032 CLIENTES : CUENTAS POR COBRAR : LINEX CHILE,1,,,,,,,
3684,105-01-033 CLIENTES : CUENTAS POR COBRAR : TRACTO REFACCIONES Y SERVICIOS DISEL DEL NORTE SA DE CV,12,,,,,,,
4099,105-01-034 CLIENTES : CUENTAS POR COBRAR : ROGELIO DAVILA CHARLES,12,,,,,,,
4100,105-01-035 CLIENTES : CUENTAS POR COBRAR : COMERCIALIZADORA Y SERVICIOS CAJ SA DE CV,12,,,,,,,
4101,105-01-036 CLIENTES : CUENTAS POR COBRAR : TALLERES DAVILA SA DE CV,12,,,,,,,
4102,105-01-037 CLIENTES : CUENTAS POR COBRAR : CARLOS LOZANO GUERRA,12,,,,,,,
4103,105-01-038 CLIENTES : CUENTAS POR COBRAR : ISRAEL CAVAZOS CEJA,12,,,,,,,
4104,105-01-039 CLIENTES : CUENTAS POR COBRAR : METAL COMPLEMENTS SA DE CV,12,,,,,,,
4105,105-01-040 CLIENTES : CUENTAS POR COBRAR : JORGE EDGAR CADENA,12,,,,,,,
4106,105-01-041 CLIENTES : CUENTAS POR COBRAR : CR CONSULTORIA AMBIENTAL PARA EL DESARROLLO Y SOSTENIBILIDA,12,,,,,,,
4107,105-01-042 CLIENTES : CUENTAS POR COBRAR : PUBLIC HEALTH SUPPLY AND EQUIPMENT DE MEXICO SA DE CV,12,,,,,,,
4108,105-01-043 CLIENTES : CUENTAS POR COBRAR : STAR JUICE SA DE CV,12,,,,,,,
4109,105-01-044 CLIENTES : CUENTAS POR COBRAR : LYSSETTE JACKELINE GARCIA VALDEZ,12,,,,,,,
4110,105-01-045 CLIENTES : CUENTAS POR COBRAR : FORZA SPL SA DE CV 2,12,,,,,,,
4113,105-01-046 CLIENTES : CUENTAS POR COBRAR : GRUPO RESTAURANTERO SPIKE SA DE CV,12,,,,,,,
4114,105-01-047 CLIENTES : CUENTAS POR COBRAR : VENTAS MOSTRADOR,12,,,,,,,
4115,105-01-048 CLIENTES : CUENTAS POR COBRAR : GUSTAVO ALMAGUER GONZALEZ,12,,,,,,,
4116,105-01-049 CLIENTES : CUENTAS POR COBRAR : Z AUTOMOTRIZ Y AUTOTRANSPORTES SA DE CV,12,,,,,,,
4117,105-01-050 CLIENTES : CUENTAS POR COBRAR : JULIAN SALINAS VAZQUEZ,12,,,,,,,
4120,105-01-051 CLIENTES : CUENTAS POR COBRAR : HERNAN RODRIGUEZ GARZA,12,,,,,,,
4121,105-01-052 CLIENTES : CUENTAS POR COBRAR : FLUIDOS INDUSTRIALES MEXICANOS SA DE CV,12,,,,,,,
4122,105-01-053 CLIENTES : CUENTAS POR COBRAR : CESAR GARZA PEÑA,12,,,,,,,
4123,105-01-054 CLIENTES : CUENTAS POR COBRAR : EUNICE HAYDEE IBARRA VILLANUEVA,12,,,,,,,
4124,105-01-055 CLIENTES : CUENTAS POR COBRAR : VALUE AUTOMOTRIZ SA DE CV,12,,,,,,,
4125,105-01-056 CLIENTES : CUENTAS POR COBRAR : AUTOPOLIS BODY SHOP SA DE CV,12,,,,,,,
4126,105-01-057 CLIENTES : CUENTAS POR COBRAR : ARROYOTEL SAS DE CV,12,,,,,,,
4129,105-01-058 CLIENTES : CUENTAS POR COBRAR : AUTOTAL SA DE CV,12,,,,,,,
4130,105-01-059 CLIENTES : CUENTAS POR COBRAR : RENTACOM TRONCAL SA DE CV,12,,,,,,,
4131,105-01-060 CLIENTES : CUENTAS POR COBRAR : GUSTAVO QUIROGA GALVAN,12,,,,,,,
4139,105-01-061 CLIENTES : CUENTAS POR COBRAR : ARTURO CASTRO LASTRA,12,,,,,,,
4140,105-01-062 CLIENTES : CUENTAS POR COBRAR : CONSTRUCTORA SEIMO DE CENTROAMERICA SA,12,,,,,,,
4146,105-01-063 CLIENTES : CUENTAS POR COBRAR : ICA FLUOR DANIEL S DE RL DE CV,12,,,,,,,
4147,105-01-064 CLIENTES : CUENTAS POR COBRAR : RADIOGRAFIA MONTERREY SA DE CV,12,,,,,,,
4148,105-01-065 CLIENTES : CUENTAS POR COBRAR : TRANSPORTES DIAZ HERMANOS SA DE CV,12,,,,,,,
4149,105-01-066 CLIENTES : CUENTAS POR COBRAR : CONSULTORES EN TANQUES DE ALMACENAMIENTO DE HIDROCARBUROS S,12,,,,,,,
4150,105-01-067 CLIENTES : CUENTAS POR COBRAR : OCA CONVERSIONES SA DE CV,12,,,,,,,
4151,105-01-068 CLIENTES : CUENTAS POR COBRAR : CLUB DEPORTIVO DE CAZADORES MONTERREY SC,12,,,,,,,
4154,105-01-069 CLIENTES : CUENTAS POR COBRAR : MG MANTENIMIENTO Y ABASTECIMIENTO INTEGRAL S DE RL DE CV,12,,,,,,,
4155,105-01-070 CLIENTES : CUENTAS POR COBRAR : LUIS MARIO RODRIGUEZ MARTINEZ,12,,,,,,,
4156,105-01-071 CLIENTES : CUENTAS POR COBRAR : RAMIRO RIVERA AGUIRRE,12,,,,,,,
4157,105-01-072 CLIENTES : CUENTAS POR COBRAR : FERGUMEX SA DE CV,12,,,,,,,
4158,105-01-073 CLIENTES : CUENTAS POR COBRAR : CARLOS CARDONA MIRELES,12,,,,,,,
4159,105-01-074 CLIENTES : CUENTAS POR COBRAR : AUTOLINEAS CAVAZOS GARZA HERMANOS SA DE CV,12,,,,,,,
4160,105-01-075 CLIENTES : CUENTAS POR COBRAR : DE TODO PARA EL CONTROL DE PLAGAS URBANAS SA DE CV,12,,,,,,,
4161,105-01-076 CLIENTES : CUENTAS POR COBRAR : TYT LOGISTICA Y SERVICIOS SA DE CV,12,,,,,,,
4162,105-01-077 CLIENTES : CUENTAS POR COBRAR : IMPERMEABILIZANTES Y CONSTRUCCIONES IMPERAM SA DE CV,12,,,,,,,
4163,105-01-078 CLIENTES : CUENTAS POR COBRAR : ARMOR LIFE LAB SA DE CV,12,,,,,,,
4164,105-01-079 CLIENTES : CUENTAS POR COBRAR : JORGE ESTEBAN MARTINEZ RODRIGUEZ,12,,,,,,,
4165,105-01-080 CLIENTES : CUENTAS POR COBRAR : ULTIMATE LININGS LLC,12,,,,,,,
4167,105-01-081 CLIENTES : CUENTAS POR COBRAR : DEPROX MEXICO SA DE CV,12,,,,,,,
4189,105-01-082 CLIENTES : CUENTAS POR COBRAR : TRACTOSERVICIOS Y COLISIONES SA DE CV,12,,,,,,,
4190,105-01-083 CLIENTES : CUENTAS POR COBRAR : ESTRUCTURAS PARA TODO PROYECTO SA DE CV,12,,,,,,,
4191,105-01-084 CLIENTES : CUENTAS POR COBRAR : DISEÑOS INDUSTRIALES Y ADITAMENTOS S DE RL DE CV,12,,,,,,,
4192,105-01-085 CLIENTES : CUENTAS POR COBRAR : PSI 24-7 SA DE CV,12,,,,,,,
4193,105-01-086 CLIENTES : CUENTAS POR COBRAR : TRANSPORTADORA DE GRANOS SA DE CV,12,,,,,,,
4194,105-01-087 CLIENTES : CUENTAS POR COBRAR : TOP METAL SOLUTIONS SA DE CV,12,,,,,,,
4195,105-01-088 CLIENTES : CUENTAS POR COBRAR : FEDERICO SUASTEGUI FLORES,12,,,,,,,
4196,105-01-089 CLIENTES : CUENTAS POR COBRAR : PROTECCIÓN INVISIBLE SA DE CV,12,,,,,,,
4217,105-01-090 CLIENTES : CUENTAS POR COBRAR : AUTOKAM REGIOMONTANA SA DE CV,12,,,,,,,
4218,105-01-091 CLIENTES : CUENTAS POR COBRAR : AGROINDUSTRIAS QUIMICAS Y BIOLOGICAS SA DE CV,12,,,,,,,
4219,105-01-092 CLIENTES : CUENTAS POR COBRAR : RAUL DE JESUS SANCHEZ GALVAN,12,,,,,,,
4220,105-01-093 CLIENTES : CUENTAS POR COBRAR : COMERCIAL IMPORTADORA HEBAND SA DE CV,12,,,,,,,
4228,105-01-094 CLIENTES : CUENTAS POR COBRAR : INGENIERIA TECNICA EN ADHESIVOS SA DE CV,12,,,,,,,
4229,105-01-095 CLIENTES : CUENTAS POR COBRAR : PROFESIONALISMO ECOLOGICO SA DE CV,12,,,,,,,
4230,105-01-096 CLIENTES : CUENTAS POR COBRAR : CAR ONE VALLE SA DE CV,12,,,,,,,
4231,105-01-097 CLIENTES : CUENTAS POR COBRAR : MANUEL TREVIÑO CANTU,12,,,,,,,
4232,105-01-098 CLIENTES : CUENTAS POR COBRAR : CORPORATIVO BOYA SA DE CV,12,,,,,,,
4233,105-01-099 CLIENTES : CUENTAS POR COBRAR : ALMA ROSA ROSALES ROJAS,12,,,,,,,
4234,105-01-100 CLIENTES : CUENTAS POR COBRAR : ARTURO TADEO CARRERA MONTEMAYOR,12,,,,,,,
4235,105-01-101 CLIENTES : CUENTAS POR COBRAR : HECTOR PEÑA SANTOS,12,,,,,,,
4236,105-01-102 CLIENTES : CUENTAS POR COBRAR : CHAPA CONSTRUCCIONES SA DE CV,12,,,,,,,
4237,105-01-103 CLIENTES : CUENTAS POR COBRAR : JAVIER CHAVEZ PANIAGUA,12,,,,,,,
4238,105-01-104 CLIENTES : CUENTAS POR COBRAR : PERFILES SANTO DOMINGO SA DE CV,12,,,,,,,
4239,105-01-105 CLIENTES : CUENTAS POR COBRAR : CENTIGON MEXICO SA DE CV,12,,,,,,,
4240,105-01-106 CLIENTES : CUENTAS POR COBRAR : TRECASA SA DE CV,12,,,,,,,
4241,105-01-107 CLIENTES : CUENTAS POR COBRAR : RODOLFO GERARDO VILLARREAL DE LA GARZA,12,,,,,,,
4242,105-01-108 CLIENTES : CUENTAS POR COBRAR : DELTA T INGENIERIA Y PROYECTOS SA DE CV,12,,,,,,,
4245,105-01-109 CLIENTES : CUENTAS POR COBRAR : SERVICIOS ESPECIALIZADOS ALANIS SA DE CV,12,,,,,,,
4246,105-01-110 CLIENTES : CUENTAS POR COBRAR : SANIMACK SA DE CV,12,,,,,,,
4247,105-01-111 CLIENTES : CUENTAS POR COBRAR : COCOPOC SA DE CV,12,,,,,,,
4248,105-01-112 CLIENTES : CUENTAS POR COBRAR : CAR ONE MONTERREY SA DE CV,12,,,,,,,
4249,105-01-113 CLIENTES : CUENTAS POR COBRAR : GRUPO INTERMAC S DE RL DE CV,12,,,,,,,
4250,105-01-114 CLIENTES : CUENTAS POR COBRAR : PREPARACIONES AUTOMOTRIZ CAR CENTER SA DE CV,12,,,,,,,
4259,105-01-115 CLIENTES : CUENTAS POR COBRAR : MARTIN GARCIA PEONES,12,,,,,,,
4260,105-01-116 CLIENTES : CUENTAS POR COBRAR : ADRIANA LOPEZ LOZANO,12,,,,,,,
4261,105-01-117 CLIENTES : CUENTAS POR COBRAR : CHEVROLET DEL RIO SA DE CV,12,,,,,,,
4262,105-01-118 CLIENTES : CUENTAS POR COBRAR : GRUPO VHEG S DE RL DE CV,12,,,,,,,
4266,105-01-119 CLIENTES : CUENTAS POR COBRAR : EDUARDO FRANCISCO CAVAZOS GARZA,12,,,,,,,
4267,105-01-120 CLIENTES : CUENTAS POR COBRAR : ROBERTO MANUEL TELLEZ ALVARADO,12,,,,,,,
4268,105-01-121 CLIENTES : CUENTAS POR COBRAR : CLINICA Y MATERNIDAD NUEVO NACIMIENTO SA DE CV,12,,,,,,,
4269,105-01-122 CLIENTES : CUENTAS POR COBRAR : POSTER PUBLICIDAD SA DE CV,12,,,,,,,
4272,105-01-123 CLIENTES : CUENTAS POR COBRAR : CENTRAL DE PARTES MONTERREY SA DE CV,12,,,,,,,
4273,105-01-124 CLIENTES : CUENTAS POR COBRAR : PIÑONES Y ENGRANES SA DE CV,12,,,,,,,
4274,105-01-125 CLIENTES : CUENTAS POR COBRAR : POLLOS K-LE SA DE CV,12,,,,,,,
4275,105-01-126 CLIENTES : CUENTAS POR COBRAR : PRODUCTOS DEL CAMPO OCA SA DE CV,12,,,,,,,
4277,105-01-127 CLIENTES : CUENTAS POR COBRAR : BRAVO MONTACARGAS SA DE CV,12,,,,,,,
4278,105-01-128 CLIENTES : CUENTAS POR COBRAR : MIL MULTIMEDIA SA DE CV,12,,,,,,,
4279,105-01-129 CLIENTES : CUENTAS POR COBRAR : MECÁNICA APLICADA DEL NORTE SA DE CV,12,,,,,,,
4500,105-01-130 CLIENTES : CUENTAS POR COBRAR : MARIO GILDARDO NAVA BENAVIDES,12,,,,,,,
4501,105-01-131 CLIENTES : CUENTAS POR COBRAR : JUAN SANTOS LOPEZ FLORES,12,,,,,,,
4502,105-01-132 CLIENTES : CUENTAS POR COBRAR : TECNIBANDAS INDUSTRIALES SA DE CV,12,,,,,,,
4503,105-01-133 CLIENTES : CUENTAS POR COBRAR : SOLIMZA SOLUCIONES CORPORATIVAS DE LIMPEZA SA DE CV,12,,,,,,,
4504,105-01-134 CLIENTES : CUENTAS POR COBRAR : SEGURIDAD PRIVADA CIMARRON SA DE CV,12,,,,,,,
4505,105-01-135 CLIENTES : CUENTAS POR COBRAR : ACN AUTOMATIZACION Y CONTROL DEL NORTE SA DE CV,12,,,,,,,
4506,105-01-136 CLIENTES : CUENTAS POR COBRAR : JORGE ALBERTO LOZANO GARCIA,12,,,,,,,
4512,105-01-137 CLIENTES : CUENTAS POR COBRAR : SANAYE PROYECIE SA DE CV,12,,,,,,,
4513,105-01-138 CLIENTES : CUENTAS POR COBRAR : ORLANDO MAR VITE,12,,,,,,,
4514,105-01-139 CLIENTES : CUENTAS POR COBRAR : ANUNCIOS PLASTICOS TERMOFORMADOS SA DE CV,12,,,,,,,
4515,105-01-140 CLIENTES : CUENTAS POR COBRAR : C1 ALEMANA SA DE CV,12,,,,,,,
4516,105-01-141 CLIENTES : CUENTAS POR COBRAR : HEDESA HERMOSILLO SA DE CV,12,,,,,,,
4517,105-01-142 CLIENTES : CUENTAS POR COBRAR : CORPORACION ACW SA DE CV,12,,,,,,,
4518,105-01-143 CLIENTES : CUENTAS POR COBRAR : RAUL FERNANDO PLATA MARTINEZ,12,,,,,,,
4519,105-01-144 CLIENTES : CUENTAS POR COBRAR : GEMAK CNC SA DE CV,12,,,,,,,
4520,105-01-145 CLIENTES : CUENTAS POR COBRAR : LILIANA GUADALUPE PEREZ LOZANO,12,,,,,,,
4523,105-01-146 CLIENTES : CUENTAS POR COBRAR : MEKO POWER SA DE CV,12,,,,,,,
4528,105-01-147 CLIENTES : CUENTAS POR COBRAR : ENDEREZADO Y PINTURA DEL NORTE SA DE CV,12,,,,,,,
4529,105-01-148 CLIENTES : CUENTAS POR COBRAR : REFORESTACION EXTREMA AC,12,,,,,,,
4530,105-01-149 CLIENTES : CUENTAS POR COBRAR : VIA LOGISTICA INTEGRAL SA DE CV,12,,,,,,,
4531,105-01-150 CLIENTES : DIMAFRA S. DE R. L. DE C. V.,12,,,,,,,
4532,105-01-151 CLIENTES : AUTO LINEAS SAN ANTONIO SA DE CV,12,,,,,,,
4548,105-01-152 CLIENTES : CUENTAS POR COBRAR : COSMEDIX S DE RL DE CV,12,,,,,,,
4550,105-01-153 CLIENTES : CUENTAS POR COBRAR : URBANIZACIONES Y CONSTRUCCIONES TREVIÑO SA DE CV,12,,,,,,,
4565,105-01-154 CLIENTES : CUENTAS POR COBRAR : BANDAS TRANSPORTADORAS INDUSTRIALES SA DE CV,12,,,,,,,
4566,105-01-155 CLIENTES : CUENTAS POR COBRAR : IMPULSORA DE INMUEBLES VILLARREAL SA DE CV,12,,,,,,,
4567,105-01-156 CLIENTES : CUENTAS POR COBRAR : MINERVA OJEDA HINOJOSA,12,,,,,,,
4568,105-01-157 CLIENTES : CUENTAS POR COBRAR : LUIS ALBERTO SEPULVEDA ORTIZ,12,,,,,,,
4569,105-01-158 CLIENTES : CUENTAS POR COBRAR : TRELLEBORG WHEEL SYSTEMS MÉXICO SA DE CV,12,,,,,,,
4571,105-01-159 CLIENTES : CUENTAS POR COBRAR : TRANS-MEX. INC. SA DE CV,12,,,,,,,
4608,105-01-160 CLIENTES : CUENTAS POR COBRAR : LOGA ARQUITECTOS SA DE CV,12,,,,,,,
4610,105-01-161 CLIENTES : CUENTAS POR COBRAR : ARQUITECTOS Y CONSULTORES RM SA DE CV,12,,,,,,,
4613,105-01-162 CLIENTES : CUENTAS POR COBRAR : FERNANDO ROSAS ROSALES,12,,,,,,,
4614,105-01-163 CLIENTES : CUENTAS POR COBRAR : MATHIEU JEAN PASCAL ROBERT,12,,,,,,,
4615,105-01-164 CLIENTES : CUENTAS POR COBRAR : JORGE EDUARDO SOLIS FLORES,12,,,,,,,
4617,105-01-165 CLIENTES : CUENTAS POR COBRAR : GRUAS Y MANIOBRAS INDUSTRIALES SANTA ROSA SA DE CV,12,,,,,,,
4618,105-01-166 CLIENTES : CUENTAS POR COBRAR : DERIVADOS Y PRODUCTOS PARA LA INDUSTRIA SA DE CV,12,,,,,,,
4619,105-01-167 CLIENTES : CUENTAS POR COBRAR : HOMERO MARTINEZ ILIZALITURRI,12,,,,,,,
4621,105-01-168 CLIENTES : CUENTAS POR COBRAR : SOLO PLAGAS SA DE CV,12,,,,,,,
4622,105-01-169 CLIENTES : CUENTAS POR COBRAR : PROINDULEK SA DE CV,12,,,,,,,
4623,105-01-170 CLIENTES : CUENTAS POR COBRAR : MADERAS Y MATERIALES EL SABINO SA DE CV,12,,,,,,,
4624,105-01-171 CLIENTES : CUENTAS POR COBRAR : CONSTRUCCIONES SICSA SA DE CV,12,,,,,,,
4629,105-01-172 CLIENTES : CUENTAS POR COBRAR : INSPECCION Y SISTEMAS DE CALIDAD SA DE CV,12,,,,,,,
4632,105-01-173 CLIENTES : CUENTAS POR COBRAR : CLIENTES TIENDA CORPORATIVA,12,,,,,,,
4637,105-01-174 CLIENTES : CUENTAS POR COBRAR : PROTECTIVE MATERIALS TECHNOLOGY SA DE CV,12,,,,,,,
4644,105-01-175 CLIENTES : CUENTAS POR COBRAR : MONTEA RECUBRIMIENTOS SA DE CV,12,,,,,,,
4657,105-01-176 CLIENTES : CUENTAS POR COBRAR : INDUSTRIAL CARROCERA EVEREST  SA DE CV,12,,,,,,,
4660,105-01-177 CLIENTES : CUENTAS POR COBRAR : GRUPO MEGA COAT  SA DE CV,12,,,,,,,
4665,105-01-178 CLIENTES : CUENTAS POR COBRAR : LAMINADO PROFESIONAL AUTOMOTRIZ ELTE  SA DE CV,12,,,,,,,
4493,105-01-500 CLIENTES : CUENTAS POR COBRAR : LINEX OPERADORA,13,,,,,,,
2878,105-02-000 CLIENTES : CUENTAS POR COBRAR USD,12,,,,,,,
112,1050 Undeposited Funds,13,,,,,,,
112,1050 Undeposited Funds,9,,,,,,,
112,1050 Undeposited Funds,17,,,,,,,
112,1050 Undeposited Funds,5,,,,,,,
112,1050 Undeposited Funds,3,,,,,,,
112,1050 Undeposited Funds,2,,,,,,,
112,1050 Undeposited Funds,14,,,,,,,
112,1050 Undeposited Funds,1,,,,,,,
112,1050 Undeposited Funds,18,,,,,,,
112,1050 Undeposited Funds,12,,,,,,,
112,1050 Undeposited Funds,6,,,,,,,
112,1050 Undeposited Funds,11,,,,,,,
112,1050 Undeposited Funds,19,,,,,,,
112,1050 Undeposited Funds,7,,,,,,,
1635,1051 Undeposited Funds -HSV/LXR,19,,,,,,,
1635,1051 Undeposited Funds -HSV/LXR,11,,,,,,,
1635,1051 Undeposited Funds -HSV/LXR,5,,,,,,,
1635,1051 Undeposited Funds -HSV/LXR,7,,,,,,,
1635,1051 Undeposited Funds -HSV/LXR,9,,,,,,,
1635,1051 Undeposited Funds -HSV/LXR,14,,,,,,,
1635,1051 Undeposited Funds -HSV/LXR,13,,,,,,,
1635,1051 Undeposited Funds -HSV/LXR,6,,,,,,,
1635,1051 Undeposited Funds -HSV/LXR,17,,,,,,,
1635,1051 Undeposited Funds -HSV/LXR,1,,,,,,,
1635,1051 Undeposited Funds -HSV/LXR,18,,,,,,,
1635,1051 Undeposited Funds -HSV/LXR,12,,,,,,,
